0.00000e+00		-4.11568e-01		8.02642e-01		1.27438e+00		8.71535e+00		2.35984e+00		1.07617e+01		1.52600e+01		6.39681e+00		1.12974e+00		
1.49896e+04		-5.52916e-01		7.12932e-01		1.24441e+00		8.73450e+00		1.81024e+00		1.07203e+01		1.51486e+01		6.73088e+00		1.10000e+00		
2.99792e+04		-7.30885e-01		6.28916e-01		1.15088e+00		8.75428e+00		1.24251e+00		1.06830e+01		1.50268e+01		7.09314e+00		1.03276e+00		
4.49689e+04		-9.25941e-01		5.89318e-01		9.78307e-01		8.81063e+00		6.97791e-01		1.06634e+01		1.49107e+01		7.42970e+00		9.35461e-01		
5.99585e+04		-1.13890e+00		5.94896e-01		7.54813e-01		8.91253e+00		1.71642e-01		1.07436e+01		1.47918e+01		7.67314e+00		8.33337e-01		
7.49481e+04		-1.37277e+00		6.46956e-01		5.37127e-01		8.99369e+00		-3.16069e-01		1.09792e+01		1.46382e+01		7.80220e+00		7.45012e-01		
8.99377e+04		-1.66763e+00		8.13729e-01		4.24480e-01		9.04395e+00		-6.72669e-01		1.12803e+01		1.44292e+01		7.89090e+00		6.72512e-01		
1.04927e+05		-2.07960e+00		1.13523e+00		4.15949e-01		9.09717e+00		-8.68761e-01		1.16175e+01		1.41832e+01		8.00019e+00		6.11179e-01		
1.19917e+05		-2.51360e+00		1.50369e+00		4.68467e-01		9.12448e+00		-1.01150e+00		1.19871e+01		1.39638e+01		8.12384e+00		5.56234e-01		
1.34907e+05		-2.81851e+00		1.85500e+00		6.52165e-01		9.13271e+00		-1.13538e+00		1.23640e+01		1.38134e+01		8.25431e+00		5.02717e-01		
1.49896e+05		-3.00939e+00		2.25129e+00		9.40107e-01		9.13323e+00		-1.23729e+00		1.27346e+01		1.36847e+01		8.38638e+00		4.43037e-01		
1.64886e+05		-3.11363e+00		2.71762e+00		1.22995e+00		9.12673e+00		-1.32158e+00		1.30747e+01		1.35244e+01		8.50928e+00		3.64667e-01		
1.79875e+05		-3.14218e+00		3.22585e+00		1.51205e+00		9.11341e+00		-1.39767e+00		1.33555e+01		1.33399e+01		8.62729e+00		2.56578e-01		
1.94865e+05		-3.12759e+00		3.75344e+00		1.77886e+00		9.09458e+00		-1.47509e+00		1.35698e+01		1.31478e+01		8.74338e+00		1.18009e-01		
2.09855e+05		-3.13718e+00		4.27325e+00		2.00566e+00		9.07272e+00		-1.55850e+00		1.37297e+01		1.29533e+01		8.85871e+00		-3.95770e-02		
2.24844e+05		-3.29788e+00		4.68897e+00		2.12451e+00		9.05116e+00		-1.64466e+00		1.38421e+01		1.27579e+01		8.97531e+00		-2.03383e-01		
2.39834e+05		-3.65671e+00		5.00547e+00		2.09508e+00		9.03568e+00		-1.72873e+00		1.39126e+01		1.25818e+01		9.09767e+00		-3.58219e-01		
2.54824e+05		-4.07973e+00		5.20324e+00		1.96161e+00		9.03007e+00		-1.80751e+00		1.39616e+01		1.24942e+01		9.26358e+00		-4.81400e-01		
2.69813e+05		-4.48813e+00		5.27597e+00		1.71554e+00		9.02981e+00		-1.88229e+00		1.40199e+01		1.25051e+01		9.52398e+00		-5.63527e-01		
2.84803e+05		-4.88566e+00		5.28709e+00		1.37574e+00		9.02216e+00		-1.96168e+00		1.41135e+01		1.25547e+01		9.83850e+00		-6.18085e-01		
2.99792e+05		-5.27751e+00		5.27855e+00		1.01319e+00		9.00849e+00		-2.05808e+00		1.42556e+01		1.26116e+01		1.01343e+01		-6.61596e-01		
3.14782e+05		-5.65515e+00		5.24784e+00		6.77202e-01		8.99470e+00		-2.18102e+00		1.44477e+01		1.26437e+01		1.03820e+01		-7.12582e-01		
3.29772e+05		-5.97490e+00		5.20102e+00		4.34840e-01		8.97582e+00		-2.35578e+00		1.46891e+01		1.26250e+01		1.05874e+01		-7.96453e-01		
3.44761e+05		-6.17377e+00		5.17903e+00		3.28305e-01		8.93538e+00		-2.61696e+00		1.49875e+01		1.25750e+01		1.07470e+01		-9.32738e-01		
3.59751e+05		-6.23679e+00		5.19212e+00		3.33174e-01		8.87131e+00		-2.93013e+00		1.53558e+01		1.25339e+01		1.08358e+01		-1.12026e+00		
3.74741e+05		-6.23666e+00		5.22781e+00		3.89381e-01		8.76541e+00		-3.23001e+00		1.57876e+01		1.25261e+01		1.08422e+01		-1.34677e+00		
3.89730e+05		-6.24903e+00		5.28047e+00		4.43019e-01		8.57210e+00		-3.47914e+00		1.62346e+01		1.25534e+01		1.07841e+01		-1.59519e+00		
4.04720e+05		-6.29404e+00		5.33925e+00		4.62008e-01		8.26691e+00		-3.66728e+00		1.66234e+01		1.26029e+01		1.06939e+01		-1.84038e+00		
4.19709e+05		-6.35910e+00		5.38118e+00		4.36957e-01		7.88550e+00		-3.81300e+00		1.69033e+01		1.26587e+01		1.06047e+01		-2.05575e+00		
4.34699e+05		-6.41254e+00		5.36805e+00		3.82796e-01		7.49814e+00		-3.93627e+00		1.70917e+01		1.26969e+01		1.05769e+01		-2.23390e+00		
4.49689e+05		-6.41761e+00		5.26011e+00		3.19314e-01		7.18193e+00		-4.03353e+00		1.72337e+01		1.27100e+01		1.06485e+01		-2.38819e+00		
4.64678e+05		-6.35983e+00		5.05284e+00		2.56892e-01		7.02210e+00		-4.10619e+00		1.73074e+01		1.27217e+01		1.07487e+01		-2.53359e+00		
4.79668e+05		-6.25254e+00		4.78568e+00		2.13485e-01		7.04296e+00		-4.16792e+00		1.72731e+01		1.27839e+01		1.08552e+01		-2.67465e+00		
