0.00000e+00		1.47524e+03		2.52907e+01		3.23258e-01		7.62177e+02		4.21706e+00		0.00000e+00		8.91767e-11		
1.25000e+03		1.67573e+03		6.75588e+01		2.55790e-01		2.05243e+03		4.34802e+00		2.26525e-01		7.91357e-11		
2.50000e+03		1.86671e+03		1.14112e+02		2.16842e-01		3.47347e+03		4.45884e+00		7.72152e-01		7.40877e-11		
3.75000e+03		2.01847e+03		1.55808e+02		1.90575e-01		4.74627e+03		4.55697e+00		1.52619e+00		7.06920e-11		
5.00000e+03		2.13199e+03		1.88000e+02		1.70856e-01		5.72893e+03		4.64602e+00		2.43080e+00		6.81143e-11		
6.25000e+03		2.17232e+03		2.09877e+02		1.53887e-01		6.39675e+03		4.72763e+00		3.44391e+00		6.60218e-11		
7.50000e+03		2.18563e+03		2.22707e+02		1.38490e-01		6.78838e+03		4.80234e+00		4.52588e+00		6.42484e-11		
8.75000e+03		2.20835e+03		2.28349e+02		1.24611e-01		6.96061e+03		4.87057e+00		5.64317e+00		6.26994e-11		
1.00000e+04		2.23772e+03		2.28667e+02		1.12194e-01		6.97032e+03		4.93282e+00		6.77005e+00		6.13159e-11		
1.12500e+04		2.29485e+03		2.25253e+02		1.01027e-01		6.86610e+03		4.98956e+00		7.88656e+00		6.00587e-11		
1.25000e+04		2.38819e+03		2.19260e+02		9.10139e-02		6.68317e+03		5.04122e+00		8.97755e+00		5.89004e-11		
1.37500e+04		2.50520e+03		2.11471e+02		8.20053e-02		6.44540e+03		5.08823e+00		1.00318e+01		5.78213e-11		
1.50000e+04		2.62461e+03		2.02465e+02		7.39119e-02		6.17048e+03		5.13097e+00		1.10413e+01		5.68067e-11		
1.62500e+04		2.72043e+03		1.92701e+02		6.66431e-02		5.87244e+03		5.16981e+00		1.20008e+01		5.58452e-11		
1.75000e+04		2.79271e+03		1.82545e+02		6.01273e-02		5.56241e+03		5.20509e+00		1.29073e+01		5.49281e-11		
1.87500e+04		2.85701e+03		1.72283e+02		5.42657e-02		5.24918e+03		5.23714e+00		1.37595e+01		5.40483e-11		
2.00000e+04		2.90360e+03		1.62142e+02		4.90029e-02		4.93961e+03		5.26624e+00		1.45572e+01		5.32002e-11		
2.12500e+04		2.93432e+03		1.52287e+02		4.42624e-02		4.63879e+03		5.29266e+00		1.53012e+01		5.23793e-11		
2.25000e+04		2.95011e+03		1.42840e+02		3.99795e-02		4.35041e+03		5.31664e+00		1.59927e+01		5.15817e-11		
2.37500e+04		2.95025e+03		1.33882e+02		3.60981e-02		4.07697e+03		5.33840e+00		1.66333e+01		5.08043e-11		
2.50000e+04		2.93596e+03		1.25464e+02		3.25738e-02		3.82001e+03		5.35811e+00		1.72249e+01		5.00445e-11		
2.62500e+04		2.91142e+03		1.17613e+02		2.93616e-02		3.58035e+03		5.37595e+00		1.77694e+01		4.93000e-11		
2.75000e+04		2.88316e+03		1.10336e+02		2.64304e-02		3.35823e+03		5.39207e+00		1.82690e+01		4.85688e-11		
2.87500e+04		2.85498e+03		1.03628e+02		2.37504e-02		3.15345e+03		5.40661e+00		1.87258e+01		4.78495e-11		
3.00000e+04		2.82843e+03		9.74714e+01		2.12959e-02		2.96552e+03		5.41970e+00		1.91420e+01		4.71406e-11		
3.12500e+04		2.80412e+03		9.18428e+01		1.90460e-02		2.79371e+03		5.43144e+00		1.95196e+01		4.64409e-11		
3.25000e+04		2.78222e+03		8.67133e+01		1.69754e-02		2.63713e+03		5.44195e+00		1.98608e+01		4.57494e-11		
3.37500e+04		2.76266e+03		8.20506e+01		1.50659e-02		2.49479e+03		5.45132e+00		2.01676e+01		4.50652e-11		
3.50000e+04		2.74516e+03		7.78210e+01		1.33025e-02		2.36568e+03		5.45962e+00		2.04419e+01		4.43875e-11		
3.62500e+04		2.72944e+03		7.39905e+01		1.16714e-02		2.24876e+03		5.46694e+00		2.06855e+01		4.37157e-11		
3.75000e+04		2.71526e+03		7.05256e+01		1.01594e-02		2.14299e+03		5.47334e+00		2.09001e+01		4.30492e-11		
3.87500e+04		2.70240e+03		6.73941e+01		8.75381e-03		2.04740e+03		5.47890e+00		2.10874e+01		4.23876e-11		
4.00000e+04		2.69068e+03		6.45653e+01		7.44568e-03		1.96105e+03		5.48366e+00		2.12489e+01		4.17303e-11		
4.12500e+04		2.67994e+03		6.20107e+01		6.22535e-03		1.88307e+03		5.48768e+00		2.13861e+01		4.10770e-11		
4.25000e+04		2.67007e+03		5.97036e+01		5.08488e-03		1.81264e+03		5.49100e+00		2.15004e+01		4.04274e-11		
4.37500e+04		2.66095e+03		5.76196e+01		4.01721e-03		1.74903e+03		5.49368e+00		2.15930e+01		3.97813e-11		
4.50000e+04		2.65251e+03		5.57363e+01		3.01546e-03		1.69154e+03		5.49574e+00		2.16652e+01		3.91384e-11		
4.62500e+04		2.64466e+03		5.40332e+01		2.07499e-03		1.63955e+03		5.49723e+00		2.17181e+01		3.84985e-11		
4.75000e+04		2.63735e+03		5.24919e+01		1.19077e-03		1.59250e+03		5.49819e+00		2.17529e+01		3.78615e-11		
4.87500e+04		2.63054e+03		5.10957e+01		3.58156e-04		1.54989e+03		5.49863e+00		2.17704e+01		3.72273e-11		
5.00000e+04		2.62418e+03		4.98298e+01		-4.27301e-04		1.51124e+03		5.49860e+00		2.17718e+01		3.65957e-11		
5.12500e+04		2.61824e+03		4.86808e+01		-1.16892e-03		1.47617e+03		5.49812e+00		2.17578e+01		3.59668e-11		
5.25000e+04		2.61268e+03		4.76365e+01		-1.87037e-03		1.44429e+03		5.49721e+00		2.17295e+01		3.53403e-11		
